scenario,method,seedCount,averageQualityMean,averageQualityStd,averageQualityCiLow,averageQualityCiHigh,p95EndToEndTtftMsMean,p95EndToEndTtftMsStd,p95EndToEndTtftMsCiLow,p95EndToEndTtftMsCiHigh,p95QueueWaitMsMean,p95QueueWaitMsStd,p95QueueWaitMsCiLow,p95QueueWaitMsCiHigh,loadGiniMean,loadGiniStd,loadGiniCiLow,loadGiniCiHigh,completionRateMean,completionRateStd,completionRateCiLow,completionRateCiHigh,nonCongestedRateMean,nonCongestedRateStd,nonCongestedRateCiLow,nonCongestedRateCiHigh
S1,best-single,6,0.8500000000000091,4.37320781245894e-15,0.8500000000000045,0.8500000000000136,190914.43156317426,105090.7293480798,80628.47472065895,301200.38840568956,137324.45408888158,106410.47447391631,25653.50967520727,248995.3985025559,0.227835787240556,0.0019861560112014523,0.2257514443352142,0.2299201301458978,0.47425,0.18529995952509004,0.2797896183290709,0.6687103816709291,0.3325769422349691,0.49073535574227406,-0.1824182300340273,0.8475721145039654
S1,cheapest-eligible,6,0.8536592833333408,0.003488774198010414,0.8499980393490056,0.857320527317676,25716.289961712664,17844.39157779071,6989.749460591585,44442.83046283374,11219.08129485856,2286.202393950622,8819.859021718057,13618.303567999064,0.22656272210712466,0.0012584071963164468,0.22524210474530595,0.22788333946894337,1,0,1,1,0.4194166666666667,0.19758806053673048,0.21206071384257183,0.6267726194907616
S1,irt-router-style,6,0.8640945583333367,0.0014848626239122374,0.8625362905748606,0.8656528260918128,184151.09541880872,100678.91689806645,78495.0517996365,289807.13903798093,132177.58360081736,102394.89143126587,24720.73514866637,239634.43205296836,0.22781435163247232,0.0020203039499222925,0.22569417266319425,0.2299345306017504,1,0,1,1,0.5679166666666667,0.3191515966851281,0.23298760644810218,0.9028457268852312
S1,least-loaded-eligible,6,0.8573748750000069,0.006625123208678805,0.850422234583471,0.8643275154165427,38970.691423169315,21092.02210102462,16835.971704455293,61105.411141883334,0,0,0,0,0.22536200446002527,0.0005025032200752589,0.22483465967151509,0.22588934924853546,1,0,1,1,0.9874166666666667,0.010066859821546457,0.9768521451840778,0.9979811881492556
S1,mixllm-style,6,0.8568167000000176,0.0026005107417603254,0.8540876313446433,0.859545768655392,24255.02015222567,19320.173127522194,3979.7418955259564,44530.29840892538,9485.33657123559,4971.1541586683,4268.43022372626,14702.24291874492,0.22643822576050898,0.0012997389409514755,0.22507423339279467,0.2278022181282233,1,0,1,1,0.6185833333333334,0.2978698401427487,0.3059881069184321,0.9311785597482347
S1,openrouter-performance-style,6,0.8572796166666881,0.0030298291944751998,0.8541000059259982,0.8604592274073779,22488.951066202153,20277.566646195584,1208.949929218743,43768.95220318556,5241.682961375139,5906.254790923913,-956.551316886018,11439.917239636296,0.22630312145887477,0.001332977678885663,0.22490424717493387,0.22770199574281566,1,0,1,1,0.73725,0.26979654371396233,0.45411589139804537,1.0203841086019545
S1,ours,6,0.8582189833333397,0.0060829860033179365,0.8518352810220396,0.8646026856446397,38857.02365525156,21001.219569223565,16817.59534963863,60896.4519608645,0,0,0,0,0.22544693956396247,0.0005034861106845139,0.22491856329501642,0.22597531583290853,1,0,1,1,0.9894166666666667,0.008386993899286346,0.9806150563538153,0.9982182769795181
S2,best-single,6,0.8500000000000066,4.786593665229247e-15,0.8500000000000016,0.8500000000000116,213501.04509962804,74205.59161110093,135627.05255373154,291375.03764552454,161290.31844366132,72294.02179568805,85422.39539097204,237158.24149635062,0.2279077105483133,0.0029775180951325956,0.22478299693965662,0.23103242415696998,0.41683333333333333,0.2143365733295806,0.1919008942624777,0.641765772404189,0.3017264174719371,0.45955407404376103,-0.18054600647254826,0.7839988414164225
S2,cheapest-eligible,6,0.8535279267300385,0.003517125004326231,0.8498369303991243,0.8572189230609527,26394.103017584614,18690.292413818293,6779.844030980494,46008.36200418873,11263.558795736884,2318.4778243613214,8830.465535617517,13696.652055856252,0.22648952931762797,0.0011476691830728484,0.2252851243736426,0.22769393426161336,0.9999166666666667,0.00020412414523190902,0.9997024515136155,1.0001308818197179,0.43261372352843086,0.1926543055583536,0.23043542901912964,0.6347920180377321
S2,irt-router-style,6,0.8630308060318092,0.0022823444183684323,0.860635632455744,0.8654259796078743,197458.06644587114,80886.90556925375,112572.46490828578,282343.6679834565,147241.2273588362,79724.13190147019,63575.88194981993,230906.57276785246,0.2278595117742137,0.0030116582725362878,0.22469897024662358,0.23102005330180383,0.9994166666666667,0.0008010409893798629,0.998576025703074,1.0002573076302594,0.5936238893957294,0.25845115016593967,0.32239604113624754,0.8648517376552113
S2,least-loaded-eligible,6,0.8570259100925529,0.006707923834269434,0.8499863757484835,0.8640654444366224,39620.05250029813,21659.689050645815,16889.60285283384,62350.502147762425,1911.8839093191189,4683.140025269385,-3002.7701416925893,6826.537960330827,0.22474029551811583,0.0006647937188050781,0.22404263729615725,0.22543795374007441,0.9999166666666667,0.00020412414523190902,0.9997024515136155,1.0001308818197179,0.9696639152909788,0.02676348857849958,0.9415773565180618,0.9977504740638958
S2,mixllm-style,6,0.8560823080248633,0.003755804988199893,0.852140832412247,0.8600237836374796,24902.686116253288,20190.13780954892,3714.435916436454,46090.93631607012,9522.420487637899,5019.111908242723,4255.185568496806,14789.655406778991,0.22634975201587063,0.001197277754577609,0.225093286068884,0.22760621796285724,0.9999166666666667,0.00020412414523190902,0.9997024515136155,1.0001308818197179,0.6169520593630149,0.23366986291636072,0.37173057715563973,0.8621735415703901
S2,openrouter-performance-style,6,0.8570232245456264,0.0033723303878169042,0.8534841808458,0.8605622682454528,23053.82495465341,21206.760641391353,798.6945223630646,45308.95538694375,5222.005044729151,5894.7882910958415,-964.1958799429858,11408.20596940129,0.22609693151072516,0.0012494577206847526,0.2247857060475963,0.22740815697385403,0.9999166666666667,0.00020412414523190902,0.9997024515136155,1.0001308818197179,0.742580331832583,0.251496216121082,0.4786512392356788,1.0065094244294872
S2,ours,6,0.8578497794730765,0.005963259732901828,0.8515917221770307,0.8641078367691223,39011.84929127506,21139.808805040084,16826.98050223496,61196.71808031516,515.503057351559,1262.7194513560123,-809.6397385957251,1840.6458532988431,0.22492183986674807,0.0005371724513374566,0.22435811195132968,0.22548556778216647,0.9999166666666667,0.00020412414523190902,0.9997024515136155,1.0001308818197179,0.9735805819576454,0.021612153613718,0.9509000176918702,0.9962611462234207
S3,best-single,6,0.8500000000000095,4.011271279305331e-15,0.8500000000000053,0.8500000000000137,190622.35889125383,103354.01234536566,82158.97476849378,299085.74301401386,136863.36064072335,105312.3704801444,26344.80569486403,247381.91558658268,0.22771275401739133,0.0019087277379706122,0.2257096671015445,0.22971584093323816,0.4615,0.18508349467199933,0.26726678426077555,0.6557332157392245,0.33113416867909146,0.47953845950798946,-0.172110581620957,0.83437891897914
S3,cheapest-eligible,6,0.8560507458333423,0.003282057169579295,0.8526064380660987,0.8594950536005859,25994.07558081298,18034.780636101073,7067.734016378723,44920.41714524724,11338.303210462765,2382.708369921725,8837.804126636693,13838.802294288838,0.22655520208691649,0.0012311030703035842,0.22526323864806277,0.2278471655257702,1,0,1,1,0.41983333333333334,0.17539745342127025,0.23576499449599567,0.603901672170671
S3,irt-router-style,6,0.8659349625000047,0.0012174314782238637,0.864657346517139,0.8672125784828704,182519.55799879343,98896.1473474212,78734.4162845018,286304.6997130851,130708.79999922616,101255.78991028258,24447.365281109756,236970.23471734257,0.2277028477918308,0.0019661420270423273,0.2256395082747699,0.22976618730889173,1,0,1,1,0.55675,0.3193601023922681,0.22160212646115768,0.8918978735388423
S3,least-loaded-eligible,6,0.859305004166674,0.006420155599267345,0.8525674640645606,0.8660425442687874,39297.40648950374,21258.974006160453,16987.48149132495,61607.331487682524,0,0,0,0,0.2253331806898602,0.0005112103552112643,0.2247966983234134,0.22586966305630699,1,0,1,1,0.9835833333333334,0.013222770763598183,0.9697068864305571,0.9974597802361096
S3,mixllm-style,6,0.8595628708333535,0.0031041518691709556,0.8563052632289558,0.8628204784377511,24594.510079272135,19455.433246110282,4177.285033415497,45011.73512512878,9631.616528283475,5025.723069121205,4357.443621292776,14905.789435274175,0.22642496155384037,0.001264547686098353,0.22509790014319564,0.2277520229644851,1,0,1,1,0.6453333333333333,0.2328019902549518,0.4010226276280787,0.8896440390385879
S3,openrouter-performance-style,6,0.859317479166689,0.0029769581971167856,0.856193353134965,0.862441605198413,22749.95300201898,20457.229581536656,1281.4071774485565,44218.498826589406,5260.8327926466945,5882.879855704603,-912.8709955057211,11434.536580799111,0.2262696573263593,0.001309796223331171,0.22489511048807123,0.2276442041646474,1,0,1,1,0.7352500000000001,0.2520406217259432,0.4707495887585779,0.9997504112414222
S3,ours,6,0.860114012500007,0.005784084823513787,0.8540439877397197,0.8661840372602942,39181.989672414806,21171.51977919125,16963.842256911987,61400.137087917625,0,0,0,0,0.22541724567198793,0.0005158551352863706,0.22487588890778898,0.22595860243618687,1,0,1,1,0.9853333333333335,0.01151375988401124,0.9732503833572483,0.9974162833094187
