scenario,seed,method,requestCount,completedCount,routedCount,averageQuality,p95EndToEndTtftMs,p95QueueWaitMs,loadGini,completionRate,nonCongestedRate
S1,11,ours,2000,2000,2000,0.8660289249999936,53628.568710248095,0,0.22567805252182577,1,0.9845
S1,11,best-single,2000,1324,1324,0.8500000000000064,55645.69355931944,0,0.22564465777306938,0.662,0.9584592145015106
S1,11,cheapest-eligible,2000,2000,2000,0.8583444250000145,48498.03440101324,12664.927962107868,0.2280013193175942,1,0.2335
S1,11,irt-router-style,2000,2000,2000,0.8660979249999925,54283.0220391681,0,0.2255793654265235,1,0.9725
S1,11,mixllm-style,2000,2000,2000,0.8583574250000146,48498.03440101324,12664.927962107868,0.22800122328179784,1,0.2345
S1,11,openrouter-performance-style,2000,2000,2000,0.8605349250000249,48498.03440101324,12664.927962107868,0.2279843831779374,1,0.402
S1,11,least-loaded-eligible,2000,2000,2000,0.8646262249999912,54007.23869722946,0,0.2255256416723422,1,0.9765
S2,11,ours,2000,2000,2000,0.8660446999999943,54105.610666033666,0,0.22457360865434273,1,0.9595
S2,11,best-single,2000,1329,1329,0.8500000000000061,109056.47821133467,61538.95727928701,0.22425938379685428,0.6645,0.909706546275395
S2,11,cheapest-eligible,2000,2000,2000,0.8588172000000132,50236.93036574503,12591.558834271626,0.22772960500389566,1,0.274
S2,11,irt-router-style,2000,1999,1999,0.8662608304152,76365.14754765549,26976.22401352814,0.22415909761748945,0.9995,0.9384692346173087
S2,11,mixllm-style,2000,2000,2000,0.8601142000000234,50236.93036574503,12592.676614523125,0.22771532330153987,1,0.374
S2,11,openrouter-performance-style,2000,2000,2000,0.8608387000000232,50236.93036574503,12591.558834271626,0.22770605907147062,1,0.4295
S2,11,least-loaded-eligible,2000,2000,2000,0.8648718999999915,55107.43898438734,0,0.2242125067537566,1,0.95
S3,11,ours,2000,2000,2000,0.8675314749999945,53750.94314923627,0,0.2257283433257955,1,0.9745
S3,11,best-single,2000,1295,1295,0.8500000000000086,57584.60154134925,1939.0891107041255,0.2256533349184627,0.6475,0.9451737451737452
S3,11,cheapest-eligible,2000,2000,2000,0.8603167250000152,48758.68262543711,12618.821287369698,0.22793231735911093,1,0.2775
S3,11,irt-router-style,2000,2000,2000,0.8676397249999935,55063.02198502755,0,0.22557946432270923,1,0.964
S3,11,mixllm-style,2000,2000,2000,0.8622602250000251,48758.68262543711,12618.821287369698,0.22791726183085706,1,0.427
S3,11,openrouter-performance-style,2000,2000,2000,0.8622732250000251,48758.68262543711,12618.821287369698,0.22791715362030718,1,0.428
S3,11,least-loaded-eligible,2000,2000,2000,0.8663026249999926,54141.791975249245,0,0.2255637489238283,1,0.97
S1,23,ours,2000,2000,2000,0.853450750000006,50962.22994616077,0,0.22480250317633316,1,1
S1,23,best-single,2000,994,994,0.8500000000000146,253400.94325078558,201717.95405530368,0.2277606221517474,0.497,0.03118712273641851
S1,23,cheapest-eligible,2000,2000,2000,0.8519152500000033,11524.382154444094,8258.369982208398,0.22518232131239158,1,0.6555
S1,23,irt-router-style,2000,2000,2000,0.8636657499999993,245922.91307393025,195608.148328237,0.22775025460216503,1,0.3245
S1,23,mixllm-style,2000,2000,2000,0.8541582500000148,7150.839815505149,3066.97926981403,0.2251135775646985,1,0.8285
S1,23,openrouter-performance-style,2000,2000,2000,0.8541837500000147,7147.767289404614,3065.661470212944,0.22511374940934986,1,0.829
S1,23,least-loaded-eligible,2000,2000,2000,0.850154250000005,50962.22994616077,0,0.22473172030181926,1,1
S2,23,ours,2000,2000,2000,0.8511487750000071,51142.3600019948,0,0.22466200898173083,1,1
S2,23,best-single,2000,777,777,0.8500000000000123,260545.9477725982,206647.52580075938,0.22921767976647794,0.3885,0.009009009009009009
S2,23,cheapest-eligible,2000,2000,2000,0.8494496750000025,11588.623312272302,8301.28499646793,0.2251537367372649,1,0.684
S2,23,irt-router-style,2000,2000,2000,0.8595221750000032,250547.31462813687,199251.20779765333,0.22919100991256067,1,0.428
S2,23,mixllm-style,2000,2000,2000,0.8517281750000144,6932.128601816668,2973.17451739824,0.22504979437296732,1,0.859
S2,23,openrouter-performance-style,2000,2000,2000,0.8517491250000145,6853.201919566312,2939.3230391743577,0.22505589993623304,1,0.8595
S2,23,least-loaded-eligible,2000,2000,2000,0.8478047750000062,51142.3600019948,0,0.2245546383739951,1,1
S3,23,ours,2000,2000,2000,0.8550608000000038,51733.097642179324,0,0.2247477061091418,1,1
S3,23,best-single,2000,999,999,0.8500000000000146,253019.3674208136,201591.8328927788,0.22770038353946967,0.4995,0.04104104104104104
S3,23,cheapest-eligible,2000,2000,2000,0.8539606000000055,11466.786727089515,8218.056907405606,0.22517552485022044,1,0.644
S3,23,irt-router-style,2000,2000,2000,0.8653960999999993,244291.8443461936,194167.34021834898,0.22768753175401027,1,0.2985
S3,23,mixllm-style,2000,2000,2000,0.8559236000000158,7347.852404554129,3151.477530451257,0.22511640274087283,1,0.794
S3,23,openrouter-performance-style,2000,2000,2000,0.8559366000000158,7338.261216190631,3147.363891124594,0.2251159291951227,1,0.795
S3,23,least-loaded-eligible,2000,2000,2000,0.8521918000000032,51733.097642179324,0,0.22468611478783967,1,1
S1,37,ours,2000,2000,2000,0.8553420750000199,11779.164064061966,0,0.22586899590137885,1,0.9815
S1,37,best-single,2000,523,523,0.8500000000000073,263122.88427144027,209523.8722714628,0.23014436324026105,0.2615,0
S1,37,cheapest-eligible,2000,2000,2000,0.8508029250000047,17118.488857187607,12860.978636956816,0.226516241713934,1,0.3635
S1,37,irt-router-style,2000,2000,2000,0.8626583250000179,250996.43082899664,199993.97230833353,0.23015464564748492,1,0.4065
S1,37,mixllm-style,2000,2000,2000,0.8575904250000236,17118.488857187607,12860.978636956816,0.2262314723338603,1,0.7565
S1,37,openrouter-performance-style,2000,2000,2000,0.8575194250000249,11781.154628637765,0,0.22582320995528368,1,0.978
S1,37,least-loaded-eligible,2000,2000,2000,0.8574944750000245,11791.327696412367,0,0.22583179564171307,1,0.9815
S2,37,ours,2000,2000,2000,0.8560221250000195,11766.785838689266,0,0.22561493856296372,1,0.967
S2,37,best-single,2000,382,382,0.8500000000000016,264420.0536787491,210695.47180612915,0.23045563643350658,0.191,0
S2,37,cheapest-eligible,2000,2000,2000,0.851690375000005,16924.863626569313,12428.512872263167,0.22657959800341101,1,0.364
S2,37,irt-router-style,2000,2000,2000,0.8628826750000225,248895.57858899634,198187.33496933806,0.2304217831661195,1,0.444
S2,37,mixllm-style,2000,2000,2000,0.8592966250000228,16924.863626569313,12434.014259752921,0.22608129270092922,1,0.813
S2,37,openrouter-performance-style,2000,2000,2000,0.8579494750000238,11784.546184807892,0,0.225551915288318,1,0.9635
S2,37,least-loaded-eligible,2000,2000,2000,0.8578595750000235,11800.339918849028,0,0.22557344613727504,1,0.968
S3,37,ours,2000,2000,2000,0.8585571000000216,11890.889857493448,0,0.22581024937215194,1,0.9785
S3,37,best-single,2000,485,485,0.8500000000000061,260141.03490651623,206849.90548093145,0.22991761925105633,0.2425,0
S3,37,cheapest-eligible,2000,2000,2000,0.8547235000000065,17419.219698434994,13194.418696245697,0.2265575686554815,1,0.338
S3,37,irt-router-style,2000,2000,2000,0.8657944000000196,248022.46351239097,197781.727617613,0.22999026132259456,1,0.3825
S3,37,mixllm-style,2000,2000,2000,0.8622360000000244,17427.58276882326,13205.800045719958,0.22623521677928968,1,0.7805
S3,37,openrouter-performance-style,2000,2000,2000,0.8604407000000258,11893.345929003615,0,0.22576932293456475,1,0.9755
S3,37,least-loaded-eligible,2000,2000,2000,0.8603911000000252,11910.394987371345,0,0.22578398393480992,1,0.9785
S1,53,ours,2000,2000,2000,0.8657061999999933,53681.97107527002,0,0.22566351917481373,1,0.987
S1,53,best-single,2000,1342,1342,0.8500000000000051,54998.598463337694,0,0.2256392556291325,0.671,0.9731743666169895
S1,53,cheapest-eligible,2000,2000,2000,0.8578892000000139,48561.93776618224,12651.440623951274,0.22798202737823975,1,0.236
S1,53,irt-router-style,2000,2000,2000,0.8657751999999926,54105.30226035639,0,0.2255734295284358,1,0.982
S1,53,mixllm-style,2000,2000,2000,0.8579022000000139,48561.93776618224,12651.440623951274,0.22798192404276366,1,0.237
S1,53,openrouter-performance-style,2000,2000,2000,0.8599822000000242,48561.93776618224,12651.440623951274,0.2279658608862214,1,0.397
S1,53,least-loaded-eligible,2000,2000,2000,0.8643889999999911,53970.755188636744,0,0.22551478310655548,1,0.9825
S2,53,ours,2000,2000,2000,0.8641994999999952,53892.88305399217,3093.018344109354,0.22450589794222503,1,0.948
S2,53,best-single,2000,1350,1350,0.8500000000000045,127024.80209912216,74792.00781755112,0.2240466058832574,0.675,0.88
S2,53,cheapest-eligible,2000,2000,2000,0.8567627500000107,50356.28005460299,12661.537650508179,0.2276914126507765,1,0.246
S2,53,irt-router-style,2000,1996,1996,0.8644599198396717,111718.90164595513,63883.34111221012,0.22396070014579444,0.998,0.9138276553106213
S2,53,mixllm-style,2000,2000,2000,0.8589632500000226,50356.28005460299,12663.04852900631,0.22766675173481518,1,0.4155
S2,53,openrouter-performance-style,2000,2000,2000,0.8590767500000227,50356.28005460299,12661.537650508179,0.22766453381453594,1,0.424
S2,53,least-loaded-eligible,2000,2000,2000,0.8628656999999919,56500.32737449511,11471.303455914713,0.22406693508255812,1,0.933
S3,53,ours,2000,2000,2000,0.8671108249999947,54108.19503778071,0,0.2256258626757993,1,0.979
S3,53,best-single,2000,1310,1310,0.8500000000000074,56991.16577159928,0,0.22556418933695,0.655,0.9541984732824428
S3,53,cheapest-eligible,2000,2000,2000,0.8601710750000153,49298.45724663752,12651.130383079453,0.2279320730737596,1,0.275
S3,53,irt-router-style,2000,2000,2000,0.867185824999994,54654.387719064944,0,0.2254936247990601,1,0.969
S3,53,mixllm-style,2000,2000,2000,0.8601840750000154,49298.45724663752,12651.130383079453,0.22793197572311838,1,0.276
S3,53,openrouter-performance-style,2000,2000,2000,0.8621015750000256,49298.45724663752,12651.130383079453,0.22791716102240234,1,0.4235
S3,53,least-loaded-eligible,2000,2000,2000,0.8658884249999927,54386.27498834042,0,0.22547782314302905,1,0.973
S1,71,ours,2000,2000,2000,0.852434575000007,51301.16228005924,0,0.22481066191669286,1,1
S1,71,best-single,2000,1011,1011,0.8500000000000147,256310.49386673246,204015.03686299207,0.22780776319193327,0.5055,0.032640949554896145
S1,71,cheapest-eligible,2000,2000,2000,0.8509987750000032,11552.659635793552,8281.377984269628,0.22517550608603668,1,0.6725
S1,71,irt-router-style,2000,2000,2000,0.8628075250000002,249547.52915806958,198316.7579881004,0.22779823337742075,1,0.321
S1,71,mixllm-style,2000,2000,2000,0.8531052750000152,7158.583117810536,3070.300354926164,0.22511093747696764,1,0.8355
S1,71,openrouter-performance-style,2000,2000,2000,0.8531262250000152,7153.377581457764,3068.0677119787442,0.22511537454978323,1,0.836
S1,71,least-loaded-eligible,2000,2000,2000,0.8493280750000062,51301.16228005924,0,0.22474445468886023,1,1
S2,71,ours,2000,2000,2000,0.8534299000000037,51397.56277960598,0,0.2245648695727537,1,1
S2,71,best-single,2000,773,773,0.8500000000000123,256890.7914916483,204142.03171108372,0.2289477152792496,0.3865,0.01164294954721863
