scenario,method,seedCount,averageQualityMean,averageQualityStd,averageQualityCiLow,averageQualityCiHigh,p95EndToEndTtftMsMean,p95EndToEndTtftMsStd,p95EndToEndTtftMsCiLow,p95EndToEndTtftMsCiHigh,p95QueueWaitMsMean,p95QueueWaitMsStd,p95QueueWaitMsCiLow,p95QueueWaitMsCiHigh,loadGiniMean,loadGiniStd,loadGiniCiLow,loadGiniCiHigh,completionRateMean,completionRateStd,completionRateCiLow,completionRateCiHigh,nonCongestedRateMean,nonCongestedRateStd,nonCongestedRateCiLow,nonCongestedRateCiHigh
S1,best-single,6,0.8500000000000071,2.3150213335615828e-15,0.8500000000000046,0.8500000000000095,126986.08172811246,81553.03997223651,41401.41500681007,212570.74844941485,72845.53094132601,81078.77319399302,-12241.423319879585,157932.48520253162,0.22662047685477352,0.0012488704338108868,0.22530986771142117,0.22793108599812587,0.6574999999999999,0.015192103211866358,0.6415568654384207,0.673443134561579,0.4106231042829853,0.46816671730768955,-0.08068773445981697,0.9019339430257876
S1,cheapest-eligible,6,0.8533801416666752,0.0033379690302589083,0.8498771580001191,0.8568831253332313,15034.56400604126,2760.8156567020947,12137.265659612465,17931.862352470056,11210.070075697395,2305.653030099989,8790.435611755327,13629.704539639462,0.22655832967716297,0.0012963697358559575,0.22519787307335537,0.22791878628097056,1,0,1,1,0.38949999999999996,0.22545088156846937,0.15290380974602533,0.6260961902539746
S1,irt-router-style,6,0.8657708666666603,0.00045261430287435206,0.8652958770859165,0.866245856247404,124662.70270223543,79458.74006299088,41275.868947162875,208049.536457308,71325.17596544615,79516.73891551011,-12122.523852556318,154772.87578344863,0.22662166457166075,0.001247966710853857,0.22531200382738845,0.22793132531593305,1,0,1,1,0.45049999999999996,0.4456200175037024,-0.017149528397456315,0.9181495283974562
S1,least-loaded-eligible,6,0.8573729833333402,0.006604967930398301,0.850441494584172,0.8643044720825085,38856.545272184514,21009.20795912539,16808.73366550003,60904.356878869,0,0,0,0,0.2265227500153485,0.0012667055902693617,0.22519342402315837,0.22785207600753862,1,0,1,1,0.9996666666666667,0.0005163977794943227,0.9991247404322959,1.0002085929010374
S1,mixllm-style,6,0.8568958916666856,0.0026864334166204116,0.8540766526940035,0.8597151306393677,13570.721614321848,5023.31476960275,8299.076062678323,18842.367165965374,9478.230913458097,4986.674343701726,4245.03713063071,14711.424696285485,0.226554609089579,0.001297698000040225,0.2251927585579967,0.2279164596211613,1,0,1,1,0.6129166666666667,0.34329861879516305,0.2526468608388298,0.9731864724945035
S1,openrouter-performance-style,6,0.8571244166666894,0.0028461033608605953,0.8541376143638376,0.8601112189695411,11792.355721284841,4230.03484563874,7353.206394579992,16231.505047989689,5248.202836233559,5938.365454509424,-983.7295168277697,11480.135189294888,0.2265510588338234,0.0012981556867076068,0.22518872798954026,0.22791338967810654,1,0,1,1,0.7214166666666667,0.3093469600087686,0.39677694161642146,1.046056391716912
S1,ours,6,0.8582411166666729,0.006115714440076115,0.8518230679673876,0.8646591653659582,38856.545272184514,21009.20795912539,16808.73366550003,60904.356878869,0,0,0,0,0.2265244996476851,0.001266925209119173,0.2251949431796467,0.22785405611572349,1,0,1,1,0.9996666666666667,0.0005163977794943227,0.9991247404322959,1.0002085929010374
S2,best-single,6,0.8500000000000076,4.591278961433592e-15,0.8500000000000029,0.8500000000000124,128851.44645262802,82726.37916797718,42035.43576115981,215667.45714409623,74937.54288918928,83296.59005767135,-12476.867432408559,162351.95321078712,0.2266494337295867,0.0012309538250943309,0.22535762691397473,0.22794124054519868,0.655,0.02994828876580431,0.6235711984033059,0.6864288015966942,0.41239077002577135,0.4674137654919859,-0.07812989424620637,0.9029114342977491
S2,cheapest-eligible,6,0.8530898250000084,0.0032834932946555506,0.8496440101119258,0.856535639888091,15090.406655700057,2812.3164775509276,12139.061512368025,18041.75179903209,11251.990751144018,2347.016976915063,8788.947487190926,13715.03401509711,0.22655994275836625,0.0012977423262557177,0.2251980457092736,0.2279218398074589,1,0,1,1,0.38916666666666666,0.2332733732483557,0.1443612748479049,0.6339720584854285
S2,irt-router-style,6,0.865455508333326,0.0008862324306672888,0.8645254644349981,0.8663855522316538,125497.37059318203,80107.21409091359,41430.005081401454,209564.7361049626,71935.86095740432,80056.15671652397,-12077.923125991874,155949.6450408005,0.22665120425261656,0.001229903638188631,0.2253604995405724,0.2279419089646607,1,0,1,1,0.4578333333333333,0.437998249615985,-0.0018176402006931935,0.9174843068673598
S2,least-loaded-eligible,6,0.8570602833333396,0.006713284648654014,0.8500151231595939,0.8641054435070853,38945.14923743997,21105.425517597152,16796.363495673006,61093.934979206926,0,0,0,0,0.22650592230606326,0.0012520580245310704,0.22519196799140248,0.22781987662072403,1,0,1,1,0.99975,0.0006123724356957725,0.9991073545408463,1.0003926454591536
S2,mixllm-style,6,0.8565675333333518,0.003176789298401899,0.8532336974218997,0.8599013692448039,13521.460082267678,5239.303127445276,8023.148650015324,19019.771514520035,9257.900648642739,5453.576887947491,3534.7226953392337,14981.078601946243,0.22655438456776658,0.0012997102115865622,0.22519042234967174,0.22791834678586143,1,0,1,1,0.6119166666666667,0.3482271409104504,0.24647469407706307,0.9773586392562703
S2,openrouter-performance-style,6,0.8567943000000225,0.003135692696405376,0.8535035923274007,0.8600850076726444,11662.249700312394,4438.969928126917,7003.836451536387,16320.6629490884,4977.356757478655,6090.042772094148,-1413.751178480491,11368.4646934378,0.22654891563619592,0.0013004359546141206,0.22518419179750226,0.22791363947488957,1,0,1,1,0.7219166666666667,0.31301332506247503,0.3934293274587282,1.0504040058746051
