scenario,seed,method,requestCount,completedCount,routedCount,averageQuality,p95EndToEndTtftMs,p95QueueWaitMs,loadGini,completionRate,nonCongestedRate
S1,11,ours,2000,2000,2000,0.8660979249999925,53650.06830314268,0,0.2280265122783579,1,1
S1,11,best-single,2000,1324,1324,0.8500000000000064,54111.48665277266,0,0.2280282173808289,0.662,1
S1,11,cheapest-eligible,2000,2000,2000,0.8578729250000185,16533.92282855857,12703.141860517937,0.22809944495454842,1,0.1695
S1,11,irt-router-style,2000,2000,2000,0.8660979249999925,53650.06830314268,0,0.2280265122783579,1,1
S1,11,mixllm-style,2000,2000,2000,0.8578859250000187,16533.92282855857,12703.141860517937,0.22809944222124218,1,0.1705
S1,11,openrouter-performance-style,2000,2000,2000,0.860063425000029,16533.92282855857,12703.141860517937,0.22809898256211145,1,0.338
S1,11,least-loaded-eligible,2000,2000,2000,0.8645859249999905,53650.06830314268,0,0.2280242476147678,1,1
S2,11,ours,2000,2000,2000,0.866261699999992,53876.77656014018,0,0.22799194909441212,1,1
S2,11,best-single,2000,1333,1333,0.8500000000000058,54464.80326936464,0,0.2279945528618862,0.6665,1
S2,11,cheapest-eligible,2000,2000,2000,0.8581029500000188,16526.25292117163,12677.52104946087,0.22810163372531486,1,0.181
S2,11,irt-router-style,2000,2000,2000,0.866261699999992,53876.77656014018,0,0.22799194909441212,1,1
S2,11,mixllm-style,2000,2000,2000,0.8581159500000188,16526.25292117163,12677.52104946087,0.22810162980821655,1,0.182
S2,11,openrouter-performance-style,2000,2000,2000,0.8601244500000289,16526.25292117163,12677.52104946087,0.2281009882946383,1,0.3365
S2,11,least-loaded-eligible,2000,2000,2000,0.8648707999999904,53876.77656014018,0,0.22798875354701248,1,1
S3,11,ours,2000,2000,2000,0.8676427249999934,53686.123153035296,0,0.22802726943622253,1,1
S3,11,best-single,2000,1296,1296,0.8500000000000085,54165.0528774933,0,0.2280292066115272,0.648,1
S3,11,cheapest-eligible,2000,2000,2000,0.8598314750000194,16552.170562827636,12691.787543967108,0.22809851320364474,1,0.206
S3,11,irt-router-style,2000,2000,2000,0.8676427249999934,53686.123153035296,0,0.22802726943622253,1,1
S3,11,mixllm-style,2000,2000,2000,0.8598444750000196,16552.170562827636,12691.787543967108,0.22809851061306588,1,0.207
S3,11,openrouter-performance-style,2000,2000,2000,0.8617879750000292,16552.170562827636,12691.787543967108,0.22809809894573793,1,0.3565
S3,11,least-loaded-eligible,2000,2000,2000,0.8662882249999919,53686.123153035296,0,0.2280252358086508,1,1
S1,23,ours,2000,2000,2000,0.853469750000006,50962.22994616077,0,0.22521245596888195,1,1
S1,23,best-single,2000,1311,1311,0.8500000000000074,97300.4085907248,43764.68909319543,0.22523553850625147,0.6555,0.22730739893211288
S1,23,cheapest-eligible,2000,2000,2000,0.8519152500000033,11482.780270745026,8236.062361423576,0.22522263335338122,1,0.6555
S1,23,irt-router-style,2000,2000,2000,0.8663104999999933,95545.7069755182,42676.16188575028,0.22523576722087157,1,0.3235
S1,23,mixllm-style,2000,2000,2000,0.8541582500000148,7126.346401832642,3056.47409924404,0.2252208163546633,1,0.8295
S1,23,openrouter-performance-style,2000,2000,2000,0.8541837500000147,7080.407656152605,3036.77107354118,0.22522082099673965,1,0.83
S1,23,least-loaded-eligible,2000,2000,2000,0.850154250000005,50962.22994616077,0,0.22521054951495179,1,1
S2,23,ours,2000,2000,2000,0.8511677750000071,51142.3600019948,0,0.22520865578170804,1,1
S2,23,best-single,2000,1366,1366,0.8500000000000034,101059.03559464696,46354.17560031027,0.2252429402467529,0.683,0.22547584187408493
S2,23,cheapest-eligible,2000,2000,2000,0.8494526750000024,11499.6277260809,8247.470563727704,0.22522183877974405,1,0.6835
S2,23,irt-router-style,2000,2000,2000,0.8643891749999918,97289.26314076663,43763.446459918894,0.2252432327892692,1,0.3315
S2,23,mixllm-style,2000,2000,2000,0.8517281750000144,6387.847048102272,1437.3068403247428,0.2252190752830893,1,0.86
S2,23,openrouter-performance-style,2000,2000,2000,0.8517536750000145,6209.951614951569,1397.279218967403,0.22521908319872452,1,0.8605
S2,23,least-loaded-eligible,2000,2000,2000,0.8478047750000062,51142.3600019948,0,0.22520576577442494,1,1
S3,23,ours,2000,2000,2000,0.8550798000000038,51733.097642179324,0,0.2252109752327215,1,1
S3,23,best-single,2000,1287,1287,0.8500000000000092,98614.59333511456,44633.30409998016,0.2252355447189689,0.6435,0.22533022533022534
S3,23,cheapest-eligible,2000,2000,2000,0.8539606000000055,11389.881475145,8168.761148463723,0.22522246015758818,1,0.644
S3,23,irt-router-style,2000,2000,2000,0.8678413499999945,96324.21152151149,43398.960574943376,0.22523579744190664,1,0.2975
S3,23,mixllm-style,2000,2000,2000,0.8559301000000157,7316.106796314605,3137.8619097842766,0.22522088636620344,1,0.7955
S3,23,openrouter-performance-style,2000,2000,2000,0.8559366000000158,7315.418494102429,3137.5666984985287,0.22522088127633144,1,0.796
S3,23,least-loaded-eligible,2000,2000,2000,0.8521918000000032,51733.097642179324,0,0.225209314510697,1,1
S1,37,ours,2000,2000,2000,0.8553208750000199,11762.300873680882,0,0.22633475210918874,1,0.999
S1,37,best-single,2000,1306,1306,0.8500000000000077,227515.48107036168,172995.50829166296,0.22659925484330742,0.653,0
S1,37,cheapest-eligible,2000,2000,2000,0.8505041250000038,17164.89891709191,12882.453378294316,0.2263530064136354,1,0.341
S1,37,irt-router-style,2000,2000,2000,0.8650101249999939,223529.17469781806,170148.8937790647,0.2266042424461111,1,0.026
S1,37,mixllm-style,2000,2000,2000,0.8589603750000238,17164.89891709191,12882.453378294316,0.22634354107649937,1,0.841
S1,37,openrouter-performance-style,2000,2000,2000,0.8575381750000249,11764.92803776887,0,0.22633351355346001,1,0.9975
S1,37,least-loaded-eligible,2000,2000,2000,0.8575208750000249,11762.300873680882,0,0.22633348571761994,1,0.999
S2,37,ours,2000,2000,2000,0.8560134250000195,11761.59023184656,0,0.22632815135043022,1,0.9985
S2,37,best-single,2000,1236,1236,0.8500000000000133,233354.53939763134,181702.25992619473,0.2267169936248981,0.618,0
S2,37,cheapest-eligible,2000,2000,2000,0.8511512250000034,16926.857601508967,12434.014259752921,0.2263554845709392,1,0.3375
S2,37,irt-router-style,2000,2000,2000,0.8654470749999958,227556.46904269236,173719.55253967203,0.22672423967103175,1,0.044
S2,37,mixllm-style,2000,2000,2000,0.8593949750000228,16926.857601508967,12434.014259752921,0.22634138596676745,1,0.8405
S2,37,openrouter-performance-style,2000,2000,2000,0.8579682250000239,11766.785838689266,0,0.22632652367729825,1,0.997
S2,37,least-loaded-eligible,2000,2000,2000,0.857959625000024,11761.59023184656,0,0.22632651341633417,1,0.9985
S3,37,ours,2000,2000,2000,0.8585546500000216,11879.06996952567,0,0.22633317370036599,1,0.9995
S3,37,best-single,2000,1220,1220,0.8500000000000147,227437.67975822708,173595.82482101957,0.22658805915362612,0.61,0
S3,37,cheapest-eligible,2000,2000,2000,0.8543724500000054,17414.903065299997,13180.183371226996,0.22635438372909011,1,0.3055
S3,37,irt-router-style,2000,2000,2000,0.8680031999999962,223390.66052769148,169783.6498159718,0.22659432902921714,1,0.028
S3,37,mixllm-style,2000,2000,2000,0.8623349500000244,17414.903065299997,13180.183371226996,0.22634532032404167,1,0.791
S3,37,openrouter-performance-style,2000,2000,2000,0.8604532000000259,11882.428476676245,0,0.22633213197250013,1,0.998
S3,37,least-loaded-eligible,2000,2000,2000,0.8604421500000259,11879.06996952567,0,0.2263320916184233,1,0.9995
S1,53,ours,2000,2000,2000,0.8657751999999926,53678.65809994596,0,0.22802615652714928,1,1
S1,53,best-single,2000,1342,1342,0.8500000000000051,54105.30226035639,0,0.22802787214298065,0.671,1
S1,53,cheapest-eligible,2000,2000,2000,0.8574062000000183,16524.737927742357,12720.817442362919,0.228099390503007,1,0.168
S1,53,irt-router-style,2000,2000,2000,0.8657751999999926,53678.65809994596,0,0.22802615652714928,1,1
S1,53,mixllm-style,2000,2000,2000,0.8574192000000185,16524.737927742357,12720.817442362919,0.22809938777161368,1,0.169
S1,53,openrouter-performance-style,2000,2000,2000,0.8594992000000287,16524.737927742357,12720.817442362919,0.22809894745566336,1,0.329
S1,53,least-loaded-eligible,2000,2000,2000,0.8643261999999908,53678.65809994596,0,0.22802397406512262,1,1
S2,53,ours,2000,2000,2000,0.8644609999999918,53777.346789562864,0,0.2279887987628573,1,1
S2,53,best-single,2000,1364,1364,0.8500000000000035,54281.56429516197,0,0.22799108045641803,0.682,1
S2,53,cheapest-eligible,2000,2000,2000,0.8560417500000173,16622.6047866244,12730.165160401404,0.22810246902775042,1,0.143
S2,53,irt-router-style,2000,2000,2000,0.8644609999999918,53777.346789562864,0,0.2279887987628573,1,1
S2,53,mixllm-style,2000,2000,2000,0.8560547500000174,16622.6047866244,12730.165160401404,0.228102464886411,1,0.144
S2,53,openrouter-performance-style,2000,2000,2000,0.8583557500000295,16622.6047866244,12730.165160401404,0.2281017358598569,1,0.321
S2,53,least-loaded-eligible,2000,2000,2000,0.8628589999999899,53777.346789562864,0,0.22798519205012907,1,1
S3,53,ours,2000,2000,2000,0.8671918249999939,53927.65149968849,0,0.22802494213256988,1,1
S3,53,best-single,2000,1312,1312,0.8500000000000073,54429.243619503344,0,0.22802679214917793,0.656,1
