scenario,method,seedCount,averageQualityMean,averageQualityStd,averageQualityCiLow,averageQualityCiHigh,p95EndToEndTtftMsMean,p95EndToEndTtftMsStd,p95EndToEndTtftMsCiLow,p95EndToEndTtftMsCiHigh,p95QueueWaitMsMean,p95QueueWaitMsStd,p95QueueWaitMsCiLow,p95QueueWaitMsCiHigh,loadGiniMean,loadGiniStd,loadGiniCiLow,loadGiniCiHigh,completionRateMean,completionRateStd,completionRateCiLow,completionRateCiHigh,nonCongestedRateMean,nonCongestedRateStd,nonCongestedRateCiLow,nonCongestedRateCiHigh
S1,best-single,1,0.8500000000000064,0,0.8500000000000064,0.8500000000000064,54111.48665277266,0,54111.48665277266,54111.48665277266,0,0,0,0,0.2280282173808289,0,0.2280282173808289,0.2280282173808289,0.662,0,0.662,0.662,1,0,1,1
S1,cheapest-eligible,1,0.8578729250000185,0,0.8578729250000185,0.8578729250000185,16533.92282855857,0,16533.92282855857,16533.92282855857,12703.141860517937,0,12703.141860517937,12703.141860517937,0.22809944495454842,0,0.22809944495454842,0.22809944495454842,1,0,1,1,0.1695,0,0.1695,0.1695
S1,irt-router-style,1,0.8660979249999925,0,0.8660979249999925,0.8660979249999925,53650.06830314268,0,53650.06830314268,53650.06830314268,0,0,0,0,0.2280265122783579,0,0.2280265122783579,0.2280265122783579,1,0,1,1,1,0,1,1
S1,least-loaded-eligible,1,0.8645859249999905,0,0.8645859249999905,0.8645859249999905,53650.06830314268,0,53650.06830314268,53650.06830314268,0,0,0,0,0.2280242476147678,0,0.2280242476147678,0.2280242476147678,1,0,1,1,1,0,1,1
S1,mixllm-style,1,0.8578859250000187,0,0.8578859250000187,0.8578859250000187,16533.92282855857,0,16533.92282855857,16533.92282855857,12703.141860517937,0,12703.141860517937,12703.141860517937,0.22809944222124218,0,0.22809944222124218,0.22809944222124218,1,0,1,1,0.1705,0,0.1705,0.1705
S1,openrouter-performance-style,1,0.860063425000029,0,0.860063425000029,0.860063425000029,16533.92282855857,0,16533.92282855857,16533.92282855857,12703.141860517937,0,12703.141860517937,12703.141860517937,0.22809898256211145,0,0.22809898256211145,0.22809898256211145,1,0,1,1,0.338,0,0.338,0.338
S1,ours,1,0.8660979249999925,0,0.8660979249999925,0.8660979249999925,53650.06830314268,0,53650.06830314268,53650.06830314268,0,0,0,0,0.2280265122783579,0,0.2280265122783579,0.2280265122783579,1,0,1,1,1,0,1,1
S2,best-single,1,0.8500000000000058,0,0.8500000000000058,0.8500000000000058,54464.80326936464,0,54464.80326936464,54464.80326936464,0,0,0,0,0.2279945528618862,0,0.2279945528618862,0.2279945528618862,0.6665,0,0.6665,0.6665,1,0,1,1
S2,cheapest-eligible,1,0.8581029500000188,0,0.8581029500000188,0.8581029500000188,16526.25292117163,0,16526.25292117163,16526.25292117163,12677.52104946087,0,12677.52104946087,12677.52104946087,0.22810163372531486,0,0.22810163372531486,0.22810163372531486,1,0,1,1,0.181,0,0.181,0.181
S2,irt-router-style,1,0.866261699999992,0,0.866261699999992,0.866261699999992,53876.77656014018,0,53876.77656014018,53876.77656014018,0,0,0,0,0.22799194909441212,0,0.22799194909441212,0.22799194909441212,1,0,1,1,1,0,1,1
S2,least-loaded-eligible,1,0.8648707999999904,0,0.8648707999999904,0.8648707999999904,53876.77656014018,0,53876.77656014018,53876.77656014018,0,0,0,0,0.22798875354701248,0,0.22798875354701248,0.22798875354701248,1,0,1,1,1,0,1,1
S2,mixllm-style,1,0.8581159500000188,0,0.8581159500000188,0.8581159500000188,16526.25292117163,0,16526.25292117163,16526.25292117163,12677.52104946087,0,12677.52104946087,12677.52104946087,0.22810162980821655,0,0.22810162980821655,0.22810162980821655,1,0,1,1,0.182,0,0.182,0.182
S2,openrouter-performance-style,1,0.8601244500000289,0,0.8601244500000289,0.8601244500000289,16526.25292117163,0,16526.25292117163,16526.25292117163,12677.52104946087,0,12677.52104946087,12677.52104946087,0.2281009882946383,0,0.2281009882946383,0.2281009882946383,1,0,1,1,0.3365,0,0.3365,0.3365
S2,ours,1,0.866261699999992,0,0.866261699999992,0.866261699999992,53876.77656014018,0,53876.77656014018,53876.77656014018,0,0,0,0,0.22799194909441212,0,0.22799194909441212,0.22799194909441212,1,0,1,1,1,0,1,1
S3,best-single,1,0.8500000000000085,0,0.8500000000000085,0.8500000000000085,54165.0528774933,0,54165.0528774933,54165.0528774933,0,0,0,0,0.2280292066115272,0,0.2280292066115272,0.2280292066115272,0.648,0,0.648,0.648,1,0,1,1
S3,cheapest-eligible,1,0.8598314750000194,0,0.8598314750000194,0.8598314750000194,16552.170562827636,0,16552.170562827636,16552.170562827636,12691.787543967108,0,12691.787543967108,12691.787543967108,0.22809851320364474,0,0.22809851320364474,0.22809851320364474,1,0,1,1,0.206,0,0.206,0.206
S3,irt-router-style,1,0.8676427249999934,0,0.8676427249999934,0.8676427249999934,53686.123153035296,0,53686.123153035296,53686.123153035296,0,0,0,0,0.22802726943622253,0,0.22802726943622253,0.22802726943622253,1,0,1,1,1,0,1,1
S3,least-loaded-eligible,1,0.8662882249999919,0,0.8662882249999919,0.8662882249999919,53686.123153035296,0,53686.123153035296,53686.123153035296,0,0,0,0,0.2280252358086508,0,0.2280252358086508,0.2280252358086508,1,0,1,1,1,0,1,1
S3,mixllm-style,1,0.8598444750000196,0,0.8598444750000196,0.8598444750000196,16552.170562827636,0,16552.170562827636,16552.170562827636,12691.787543967108,0,12691.787543967108,12691.787543967108,0.22809851061306588,0,0.22809851061306588,0.22809851061306588,1,0,1,1,0.207,0,0.207,0.207
S3,openrouter-performance-style,1,0.8617879750000292,0,0.8617879750000292,0.8617879750000292,16552.170562827636,0,16552.170562827636,16552.170562827636,12691.787543967108,0,12691.787543967108,12691.787543967108,0.22809809894573793,0,0.22809809894573793,0.22809809894573793,1,0,1,1,0.3565,0,0.3565,0.3565
S3,ours,1,0.8676427249999934,0,0.8676427249999934,0.8676427249999934,53686.123153035296,0,53686.123153035296,53686.123153035296,0,0,0,0,0.22802726943622253,0,0.22802726943622253,0.22802726943622253,1,0,1,1,1,0,1,1
