scenario,seed,method,requestCount,completedCount,routedCount,averageQuality,p95EndToEndTtftMs,p95QueueWaitMs,loadGini,completionRate,nonCongestedRate
S1,11,ours,2000,2000,2000,0.8660979249999925,53650.06830314268,0,0.2280265122783579,1,1
S1,11,best-single,2000,1324,1324,0.8500000000000064,54111.48665277266,0,0.2280282173808289,0.662,1
S1,11,cheapest-eligible,2000,2000,2000,0.8578729250000185,16533.92282855857,12703.141860517937,0.22809944495454842,1,0.1695
S1,11,irt-router-style,2000,2000,2000,0.8660979249999925,53650.06830314268,0,0.2280265122783579,1,1
S1,11,mixllm-style,2000,2000,2000,0.8578859250000187,16533.92282855857,12703.141860517937,0.22809944222124218,1,0.1705
S1,11,openrouter-performance-style,2000,2000,2000,0.860063425000029,16533.92282855857,12703.141860517937,0.22809898256211145,1,0.338
S1,11,least-loaded-eligible,2000,2000,2000,0.8645859249999905,53650.06830314268,0,0.2280242476147678,1,1
S2,11,ours,2000,2000,2000,0.866261699999992,53876.77656014018,0,0.22799194909441212,1,1
S2,11,best-single,2000,1333,1333,0.8500000000000058,54464.80326936464,0,0.2279945528618862,0.6665,1
S2,11,cheapest-eligible,2000,2000,2000,0.8581029500000188,16526.25292117163,12677.52104946087,0.22810163372531486,1,0.181
S2,11,irt-router-style,2000,2000,2000,0.866261699999992,53876.77656014018,0,0.22799194909441212,1,1
S2,11,mixllm-style,2000,2000,2000,0.8581159500000188,16526.25292117163,12677.52104946087,0.22810162980821655,1,0.182
S2,11,openrouter-performance-style,2000,2000,2000,0.8601244500000289,16526.25292117163,12677.52104946087,0.2281009882946383,1,0.3365
S2,11,least-loaded-eligible,2000,2000,2000,0.8648707999999904,53876.77656014018,0,0.22798875354701248,1,1
S3,11,ours,2000,2000,2000,0.8676427249999934,53686.123153035296,0,0.22802726943622253,1,1
S3,11,best-single,2000,1296,1296,0.8500000000000085,54165.0528774933,0,0.2280292066115272,0.648,1
S3,11,cheapest-eligible,2000,2000,2000,0.8598314750000194,16552.170562827636,12691.787543967108,0.22809851320364474,1,0.206
S3,11,irt-router-style,2000,2000,2000,0.8676427249999934,53686.123153035296,0,0.22802726943622253,1,1
S3,11,mixllm-style,2000,2000,2000,0.8598444750000196,16552.170562827636,12691.787543967108,0.22809851061306588,1,0.207
S3,11,openrouter-performance-style,2000,2000,2000,0.8617879750000292,16552.170562827636,12691.787543967108,0.22809809894573793,1,0.3565
S3,11,least-loaded-eligible,2000,2000,2000,0.8662882249999919,53686.123153035296,0,0.2280252358086508,1,1
